"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Purchases Module","0","Invoice Creation","1","0","User attempts to create a duplicate invoice","0"
"0","Purchases Module","0","Payment Creation","1","0","","0"
"0","Sales Module","0","Credit note Creation","1","0","","0"
"0","Sales Module","0","Invoice Creation","1","0","User creates a sales invoice","0"
